"unigram","bigram","trigram","freq"
"in","the","country",21
"is","making","me",21
"is","robin","harris",21
"it","a","few",21
"it","was","great",21
"its","not","smdh",21
"its","time","to",21
"its","up","to",21
"just","because","its",21
"just","kuz","my",21
"kids","are","theres",21
"kuz","my","people",21
"love","you","too",21
"me","just","kuz",21
"messed","up","and",21
"movie","recommendation","is",21
"my","people","say",21
"need","to","know",21
"next","time","i",21
"once","and","for",21
"our","responsibility","to",21
"out","there","that",21
"paola","doe","c",21
"people","say","u",21
"ratchet","the","truth",21
"recommendation","is","robin",21
"robin","harris","in",21
"say","it","was",21
"say","u","ratchet",21
"scared","the","shit",21
"shit","out","of",21
"so","i","am",21
"so","many","people",21
"something","to","tell",21
"sorry","for","all",21
"talking","about","the",21
"tell","paola","doe",21
"that","is","so",21
"the","dads","out",21
"the","journal","of",21
"the","shit","out",21
"the","truth","hurts",21
"the","year","old",21
"their","kids","are",21
"there","that","have",21
"theres","and","its",21
"this","increases","the",21
"time","for","a",21
"time","when","i",21
"to","be","more",21
"to","be","right",21
"to","do","is",21
"to","get","it",21
"to","get","my",21
"to","take","the",21
"to","tell","paola",21
"to","the","store",21
"trying","to","figure",21
"u","ratchet","the",21
"up","all","the",21
"we","can","get",21
"what","the","fuck",21
"will","see","the",21
"woman","in","black",21
"working","at","the",21
"would","have","to",21
"wow","dont","be",21
"youll","have","to",21
"a","agreed","my",20
"a","few","new",20
"a","fun","homecoming",20
"a","matter","of",20
"a","question","of",20
"a","savage","from",20
"a","way","of",20
"a","whole","bag",20
"a","whole","lot",20
"according","to","the",20
"accounts","with","pinterest",20
"actual","thing","but",20
"agreed","my","programs",20
"all","my","files",20
"am","so","excited",20
"and","by","the",20
"and","halloween","weekend",20
"and","in","the",20
"and","it","scared",20
"and","take","pictures",20
"and","the","top",20
"apparently","i","should",20
"are","likely","to",20
"are","messed","up",20
"are","on","the",20
"as","manifestation","of",20
"as","privilege","of",20
"athletes","as","manifestation",20
"attitude","of","the",20
"away","from","me",20
"back","to","work",20
"be","safe","and",20
"became","one","of",20
"because","i","think",20
"blasted","because","i",20
"bottom","of","the",20
"box","office","ordered",20
"boy","with","the",20
"brush","ya","shouldas",20
"build","a","new",20
"buildings","dont","speak",20
"but","for","me",20
"but","i","could",20
"but","it","seems",20
"but","its","not",20
"but","of","the",20
"cant","wait","for",20
"cold","as","balls",20
"crotch","not","the",20
"day","to","all",20
"do","for","a",20
"do","like","jayz",20
"dont","see","it",20
"dont","speak","for",20
"each","other","to",20
"everyone","be","safe",20
"excited","to","see",20
"falling","in","love",20
"fans","at","the",20
"feel","like","i",20
"florida","it","is",20
"for","a","ride",20
"for","the","past",20
"friday","everyone","be",20
"friends","steal","my",20
"from","the","early",20
"fucking","volume","just",20
"fun","homecoming","and",20
"fun","to","watch",20
"get","some","sleep",20
"gone","to","the",20
