"unigram","bigram","freq"
"every","time",40
"form","of",40
"had","my",40
"hes","a",40
"his","life",40
"i","cannot",40
"i","go",40
"if","he",40
"in","any",40
"in","here",40
"indiana","stucco",40
"into","it",40
"is","something",40
"like","my",40
"like","that",40
"must","say",40
"nice","to",40
"no","doubt",40
"none","of",40
"not","having",40
"on","all",40
"out","this",40
"plenty","of",40
"show","you",40
"some","great",40
"studio","for",40
"taking","a",40
"that","even",40
"thats","the",40
"the","actual",40
"the","movie",40
"the","store",40
"we","didnt",40
"we","made",40
"you","back",40
"you","feel",40
"a","minute",39
"are","now",39
"are","two",39
"blessed","to",39
"change","your",39
"comes","to",39
"days","of",39
"do","for",39
"easy","to",39
"for","us",39
"from","this",39
"get","ready",39
"go","back",39
"haha","well",39
"have","one",39
"i","heard",39
"i","told",39
"idea","of",39
"im","still",39
"in","chicago",39
"in","mind",39
"is","coming",39
"is","good",39
"is","most",39
"is","our",39
"it","that",39
"just","as",39
"know","its",39
"let","us",39
"my","mind",39
"next","to",39
"no","problem",39
"not","so",39
"outside","of",39
"respond","to",39
"so","is",39
"so","now",39
"that","has",39
"to","in",39
"to","meet",39
"u","dont",39
"unable","to",39
"you","said",39
"a","choice",38
"a","guy",38
"a","healthy",38
"a","lovely",38
"a","ride",38
"age","of",38
"an","email",38
"and","are",38
"and","try",38
"and","yet",38
"are","both",38
"are","good",38
"be","like",38
"but","my",38
"can","still",38
"design","team",38
"did","a",38
"even","the",38
"for","minutes",38
"get","on",38
"get","this",38
"go","with",38
"gonna","get",38
"grew","up",38
"have","fun",38
"have","nothing",38
"hear","that",38
"hit","me",38
"however","i",38
"i","missed",38
"i","took",38
"i","understand",38
"in","its",38
"is","amazing",38
"is","when",38
"it","comes",38
"its","friday",38
"look","like",38
"me","up",38
"need","more",38
"no","idea",38
"not","have",38
"refuse","to",38
"say","i",38
"sorry","for",38
"spring","break",38
"take","it",38
"talking","to",38
"the","car",38
"the","good",38
"the","long",38
"the","party",38
"think","you",38
"this","isnt",38
"time","she",38
"to","admit",38
"to","turn",38
"was","very",38
"when","she",38
"who","you",38
"you","both",38
"a","half",37
"addition","to",37
"all","over",37
"and","cook",37
"and","her",37
"and","ur",37
"at","his",37
"at","night",37
"at","them",37
"at","university",37
"be","just",37
"because","you",37
"both","of",37
"but","when",37
"can","go",37
"customer","service",37
"day","the",37
"days","ago",37
"do","i",37
"free","to",37
"give","up",37
"go","and",37
"good","night",37
"i","came",37
"i","decided",37
"i","forgot",37
"i","never",37
"if","anyone",37
"it","also",37
"living","in",37
"lol","i",37
"me","he",37
"me","my",37
"new","home",37
"nothing","more",37
"of","god",37
"oh","i",37
"one","way",37
"only","to",37
"picture","of",37
"place","in",37
"so","its",37
"sort","of",37
"sounds","like",37
"take","them",37
"the","ability",37
"the","children",37
"the","kind",37
"the","lake",37
"the","worst",37
"the","wrong",37
"thing","i",37
"to","build",37
"to","him",37
"up","at",37
"we","do",37
"we","see",37
"what","would",37
"when","youre",37
"will","use",37
"you","too",37
"a","difference",36
"a","girl",36
"a","million",36
"add","the",36
"after","that",36
"also","be",36
"an","hour",36
"and","at",36
"and","by",36
"and","is",36
"and","with",36
"and","youre",36
"are","all",36
"at","some",36
"at","your",36
"best","thing",36
"could","get",36
"do","the",36
"dont","say",36
"find","a",36
"from","last",36
"fun","to",36
"get","my",36
"happy","to",36
"his","name",36
"i","miss",36
"i","remember",36
"is","too",36
"it","because",36
"it","may",36
"it","with",36
"love","that",36
"not","too",36
"now","do",36
"off","a",36
"on","and",36
"on","going",36
"on","here",36
"one","and",36
"out","on",36
"picked","the",36
"planing","on",36
"the","early",36
"the","earth",36
"the","experience",36
"the","name",36
"the","present",36
"the","very",36
"then","they",36
"they","certainly",36
"those","of",36
"though","i",36
"to","join",36
"to","not",36
"until","you",36
"was","able",36
"was","being",36
"way","that",36
"were","so",36
"what","happened",36
"why","do",36
"within","the",36
"you","ask",36
"about","doing",35
"access","to",35
"an","amazing",35
"and","thats",35
"be","at",35
"because","we",35
"been","so",35
"being","a",35
"being","the",35
"check","it",35
"compared","to",35
"couple","of",35
"dont","work",35
"for","what",35
"friday","and",35
"give","me",35
"have","their",35
"he","will",35
"i","spent",35
"is","at",35
"is","where",35
"it","gets",35
"looking","at",35
"many","times",35
"night","with",35
"oh","well",35
"on","friday",35
"on","sunday",35
"picked","up",35
"possible","to",35
"she","will",35
"sitting","in",35
"still","have",35
"sure","you",35
"th","birthday",35
"that","said",35
"the","blue",35
"the","west",35
"there","that",35
"tickets","in",35
"time","around",35
"times","and",35
"to","pay",35
"to","san",35
"to","visit",35
"to","wear",35
"too","many",35
"used","in",35
"waking","up",35
"we","get",35
"which","would",35
"yesterday","i",35
"you","see",35
"a","dollar",34
"a","dream",34
"a","friend",34
"a","result",34
"a","short",34
"add","to",34
"again","but",34
"am","in",34
"ammonium","hydroxide",34
"and","ill",34
"and","only",34
"and","play",34
"and","two",34
"and","water",34
"bad","for",34
"best","of",34
"but","for",34
"can","help",34
"doesnt","mean",34
"energy","electrons",34
"focus","on",34
"focusing","on",34
"from","me",34
"go","ahead",34
"gone","to",34
"he","did",34
"her","to",34
"here","are",34
"i","received",34
"im","in",34
"in","addition",34
